345543,EC-MRI,ES,46.390594,6.695899,8382,46,838,-5.9,1000,14RY,ANE14RY,IB8780,LEMD,MAD,LSZH,ZRH,IBE,IB,CRJX,1686299212,en-route
345583,EC-MSB,ES,44.348316,2.664787,10972,53,966,0,1000,97PK,ANE97PK,IB8766,LEMD,MAD,LIMF,TRN,IBE,IB,CRJX,1686299213,en-route
345611,EC-MTL,ES,49.261623,3.863212,11277,263,772,0.3,1000,47QW,VOE47QW,V72271,LOWW,VIE,LFRS,NTE,VOE,V7,A319,1686299212,en-route
345612,EC-MTM,ES,50.18074,2.743257,3048,1,577,-3.9,1000,14RE,VOE14RE,V72227,LIEO,OLB,LFQQ,LIL,VOE,V7,A319,1686299210,en-route
345617,EC-MTV,ES,43.096344,23.134781,12496,63,861,0,0206,947P,LAV947P,LEZL,SVQ,LRCK,CND,LAV,AP,B738,1686299214,en-route
345642,EC-MVO,ES,43.881767,0.888454,10668,192,750,0,7607,9MX,VLG9MX,VY8153,LFPO,ORY,LEVC,VLC,VLG,VY,A320,1686299210,en-route
345643,EC-MVE,ES,44.180264,5.442614,10668,204,750,0,5744,7GE,VLG7GE,VY6200,LSGG,GVA,LEBL,BCN,VLG,VY,A320,1686299211,en-route
345645,EC-MXG,ES,43.485424,7.178846,11582,51,935,0,5374,1ND,VLG1ND,VY1868,LEBL,BCN,EDDS,STR,VLG,VY,A320,1686299212,en-route
345685,EC-MUF,ES,40.489025,-3.561401,0,357,31,0,1423,3736,IBS3736,IB3736,LEMD,MAD,LFLL,LYS,IBS,IB,A320,1686299213,en-route
345687,EC-MTZ,ES,40.488598,-3.578843,0,270,31,0,5152,8845,ANE8845,IB8845,LEPP,PNA,LEMD,MAD,IBE,IB,CRJX,1686299213,en-route
345688,EC-MUG,ES,47.512344,1.076866,11574,28,859,0.3,1000,8706,ANE8706,IB8706,LEMD,MAD,EDDF,FRA,IBE,IB,CRJX,1686299212,en-route
